value,sourceX,sourceY,targetX,targetY,member group,responder type
1,meetup1,responded but did not show up,meetup2,responded and showed up,all members,early responders
2,meetup1,responded and showed up,meetup2,did not respond,before meetup 1,early responders
5,meetup2,responded and showed up,meetup3,responded but did not show up,all members,all responders
1,meetup1,responded and showed up,meetup2,did not respond,before meetup 1,normal responders
3,meetup1,responded and showed up,meetup2,responded and showed up,before meetup 1,very late responders
7,meetup2,responded and showed up,meetup3,responded and showed up,before meetup 2,all responders
3,meetup3,responded and showed up,meetup4,responded No,before meetup 1,all responders
1,meetup2,responded but did not show up,meetup3,responded No,all members,very late responders
1,meetup2,joined meetup group,meetup3,did not respond,all members,early responders
4,meetup3,joined meetup group,meetup4,responded but did not show up,all members,early responders
1,meetup1,responded No,meetup2,responded and showed up,before meetup 1,normal responders
2,meetup3,joined meetup group,meetup4,responded No,before meetup 4,very late responders
3,meetup3,responded No,meetup4,responded and showed up,all members,early responders
1,meetup3,did not respond,meetup4,responded but did not show up,before meetup 2,very late responders
28,meetup1,joined meetup group,meetup2,responded and showed up,all members,all responders
45,meetup1,responded but did not show up,meetup2,did not respond,all members,all responders
